Manufacturer,Name,Speed,Glide,Turn,Fade,Purchase Url
Discraft,Vulture,9.7,4.8,-0.1,2,https://infinitediscs.com/Discraft-Vulture?tag=3c8c6529
Discraft,XL,7.9,5,-1,1.9,https://infinitediscs.com/Discraft-XL?tag=3c8c6529
Discraft,Xpress,7.9,4.9,-3.1,0.9,https://infinitediscs.com/Discraft-Xpress?tag=3c8c6529
Discraft,XS,8,4.9,-2,3,https://infinitediscs.com/Discraft-XS?tag=3c8c6529
Discraft,Xtreme,6,3,1,4,https://infinitediscs.com/Discraft-Xtreme?tag=3c8c6529
Discraft,Zombee,6,5,-1.1,1,https://infinitediscs.com/Discraft-Zombee?tag=3c8c6529
Discraft,Archer,5.7,4.8,-3.3,1,https://infinitediscs.com/Discraft-Archer?tag=3c8c6529
Discraft,Buzzz,5,4.3,-0.6,1,https://infinitediscs.com/Discraft-Buzzz?tag=3c8c6529
Discraft,Buzzz GT,5,4.9,0,1.3,https://infinitediscs.com/Discraft-Buzzz-GT?tag=3c8c6529
Discraft,Buzzz OS,5,3.9,0,3,https://infinitediscs.com/Discraft-Buzzz-OS?tag=3c8c6529
Discraft,Buzzz SS,5,4.1,-1.9,1,https://infinitediscs.com/Discraft-Buzzz-SS?tag=3c8c6529
Discraft,Comet,4.1,5.2,-1.8,0.9,https://infinitediscs.com/Discraft-Comet?tag=3c8c6529
Discraft,Drone,5,3.4,0.5,3.9,https://infinitediscs.com/Discraft-Drone?tag=3c8c6529
Discraft,Glide,5.9,5,-3,1.8,https://infinitediscs.com/Discraft-Glide?tag=3c8c6529
Discraft,Hawk,4,5,-1.8,1.9,https://infinitediscs.com/Discraft-Hawk?tag=3c8c6529
Discraft,Hornet,5,5,-0.1,3.8,https://infinitediscs.com/Discraft-Hornet?tag=3c8c6529
Discraft,Impact,5.1,5,-1.9,1.9,https://infinitediscs.com/Discraft-Impact?tag=3c8c6529
Discraft,Malta,5,4.1,0.5,2.9,https://infinitediscs.com/Discraft-Malta?tag=3c8c6529
Discraft,Meteor,4.2,4.9,-2.8,1,https://infinitediscs.com/Discraft-Meteor?tag=3c8c6529
Discraft,Nebula,5,4,-0.5,2,https://infinitediscs.com/Discraft-Nebula?tag=3c8c6529
Discraft,Sol,4,4.8,-2.9,0.4,https://infinitediscs.com/Discraft-Sol?tag=3c8c6529
Discraft,Stratus,5,4.9,-3,1,https://infinitediscs.com/Discraft-Stratus?tag=3c8c6529
Discraft,Wasp,5,4.2,0,2.5,https://infinitediscs.com/Discraft-Wasp?tag=3c8c6529
Discraft,APX,2,3,-1,0.9,https://infinitediscs.com/Discraft-APX?tag=3c8c6529
Discraft,Banger GT,2,3,-0.1,1,https://infinitediscs.com/Discraft-Banger-GT?tag=3c8c6529
Discraft,Challenger,2,3,0,1.9,https://infinitediscs.com/Discraft-Challenger?tag=3c8c6529
Discraft,Challenger OS,2.9,4.8,0,2.6,https://infinitediscs.com/Discraft-Challenger-OS?tag=3c8c6529
Discraft,Challenger SS,2,3.9,-0.7,1.7,https://infinitediscs.com/Discraft-Challenger-SS?tag=3c8c6529
Discraft,Fierce,3,4,-1.9,0,https://infinitediscs.com/Discraft-Fierce?tag=3c8c6529
Discraft,Focus,2,3,-1,1.7,https://infinitediscs.com/Discraft-Focus?tag=3c8c6529
Discraft,Luna,3,3.1,-0.1,2.3,https://infinitediscs.com/Discraft-Luna?tag=3c8c6529
Discraft,Magnet,2,3,-1,1.8,https://infinitediscs.com/Discraft-Magnet?tag=3c8c6529
Discraft,Putt'r,2,3.1,-2,0.9,https://infinitediscs.com/Discraft-Puttr?tag=3c8c6529
Discraft,Rattler,2,3.1,-1,1,https://infinitediscs.com/Discraft-Rattler?tag=3c8c6529
Discraft,Ringer,3,3.8,0,2,https://infinitediscs.com/Discraft-Ringer?tag=3c8c6529
Discraft,Ringer GT,3,3,0,2.8,https://infinitediscs.com/Discraft-Ringer-GT?tag=3c8c6529
Discraft,Roach,2.1,3.9,-0.3,1,https://infinitediscs.com/Discraft-Roach?tag=3c8c6529
Discraft,Soft Magnet,2,3.1,-1,1.8,https://infinitediscs.com/Discraft-Soft-Magnet?tag=3c8c6529
Discraft,Zone,3.9,3,0,3,https://infinitediscs.com/Discraft-Zone?tag=3c8c6529
Disctroyer,Starling,12.9,5,-2,2,https://infinitediscs.com/Disctroyer-Starling?tag=3c8c6529
Disctroyer,Stork,8,5,0,1,https://infinitediscs.com/Disctroyer-Stork?tag=3c8c6529
Disctroyer,Skylark,5,4,0,2,https://infinitediscs.com/Disctroyer-Skylark?tag=3c8c6529
Disctroyer,Sparrow,3,3,0,2,https://infinitediscs.com/Disctroyer-Sparrow?tag=3c8c6529
Dynamic-Discs,Captain,12.7,4.9,-2.1,2.1,https://infinitediscs.com/Dynamic-Discs-Captain?tag=3c8c6529
Dynamic-Discs,Criminal,10,3.1,0.9,4.1,https://infinitediscs.com/Dynamic-Discs-Criminal?tag=3c8c6529
Dynamic-Discs,Defender,13,4.9,0,3.1,https://infinitediscs.com/Dynamic-Discs-Defender?tag=3c8c6529
Dynamic-Discs,Enforcer,12,4.1,0.3,3.9,https://infinitediscs.com/Dynamic-Discs-Enforcer?tag=3c8c6529
Dynamic-Discs,Freedom,13.8,5,-2.8,2.7,https://infinitediscs.com/Dynamic-Discs-Freedom?tag=3c8c6529
Dynamic-Discs,Raider,12.9,5,-0.6,3,https://infinitediscs.com/Dynamic-Discs-Raider?tag=3c8c6529
Dynamic-Discs,Renegade,11,5,-2.1,2.6,https://infinitediscs.com/Dynamic-Discs-Renegade?tag=3c8c6529
Dynamic-Discs,Sergeant,11,4,0,2.6,https://infinitediscs.com/Dynamic-Discs-Sergeant?tag=3c8c6529
Dynamic-Discs,Sheriff,12.9,5.1,-1,2,https://infinitediscs.com/Dynamic-Discs-Sheriff?tag=3c8c6529
Dynamic-Discs,Trespass,11.9,5,-1.1,2.8,https://infinitediscs.com/Dynamic-Discs-Trespass?tag=3c8c6529
Dynamic-Discs,Breakout,8,5.1,-1.2,1.5,https://infinitediscs.com/Dynamic-Discs-Breakout?tag=3c8c6529
Dynamic-Discs,Convict,9,4,-0.7,2.8,https://infinitediscs.com/Dynamic-Discs-Convict?tag=3c8c6529
Dynamic-Discs,Escape,9,5.2,-0.9,1.9,https://infinitediscs.com/Dynamic-Discs-Escape?tag=3c8c6529
Dynamic-Discs,Felon,9,3.6,0.2,3.9,https://infinitediscs.com/Dynamic-Discs-Felon?tag=3c8c6529
Dynamic-Discs,Getaway,9,5.1,-0.5,2.8,https://infinitediscs.com/Dynamic-Discs-Getaway?tag=3c8c6529
Dynamic-Discs,Maverick,7,4.3,-1.6,1.8,https://infinitediscs.com/Dynamic-Discs-Maverick?tag=3c8c6529
Dynamic-Discs,Thief,8,5,-1.4,1.7,https://infinitediscs.com/Dynamic-Discs-Thief?tag=3c8c6529
Dynamic-Discs,Vandal,9,5,-1.4,2,https://infinitediscs.com/Dynamic-Discs-Vandal?tag=3c8c6529
Dynamic-Discs,Witness,8,6,-3,1,https://infinitediscs.com/Dynamic-Discs-Witness?tag=3c8c6529
Dynamic-Discs,Bounty,4,5.1,-1.5,0.5,https://infinitediscs.com/Dynamic-Discs-Bounty?tag=3c8c6529
Dynamic-Discs,EMac Truth,5,5,-0.2,1.9,https://infinitediscs.com/Dynamic-Discs-EMac-Truth?tag=3c8c6529
Dynamic-Discs,Evidence,5,5.1,-1,0.3,https://infinitediscs.com/Dynamic-Discs-Evidence?tag=3c8c6529
Dynamic-Discs,Fugitive,5,5,-0.2,1,https://infinitediscs.com/Dynamic-Discs-Fugitive?tag=3c8c6529
Dynamic-Discs,Justice,5,2.1,0.5,4.1,https://infinitediscs.com/Dynamic-Discs-Justice?tag=3c8c6529
Dynamic-Discs,Patrol,5,5,-3,0.6,https://infinitediscs.com/Dynamic-Discs-Patrol?tag=3c8c6529
Dynamic-Discs,Proof,5,5,-3.1,0.9,https://infinitediscs.com/Dynamic-Discs-Proof?tag=3c8c6529
Dynamic-Discs,Suspect,4,3.1,-0.1,2.8,https://infinitediscs.com/Dynamic-Discs-Suspect?tag=3c8c6529
Dynamic-Discs,Truth,5,5.1,-0.7,1.4,https://infinitediscs.com/Dynamic-Discs-Truth?tag=3c8c6529
Dynamic-Discs,Verdict,5.1,4.1,-0.1,3.3,https://infinitediscs.com/Dynamic-Discs-Verdict?tag=3c8c6529
Dynamic-Discs,Warrant,5,5,-1.9,0.1,https://infinitediscs.com/Dynamic-Discs-Warrant?tag=3c8c6529
Dynamic-Discs,Deputy,3,4,-1.4,0,https://infinitediscs.com/Dynamic-Discs-Deputy?tag=3c8c6529
Dynamic-Discs,Gavel,3,5,-1.8,0.4,https://infinitediscs.com/Dynamic-Discs-Gavel?tag=3c8c6529
